# source=Ensembl BioMart hsapiens_gene_ensembl (with_mmusculus_homolog)
# orthology_type=ortholog_one2one; unique human/mouse symbols
# download_date=2026-08-09
# ensembl_host=www.ensembl.org (current at download)
human_symbol	human_ensembl	mouse_symbol	mouse_ensembl	orthology_type
POM121L12	ENSG00000221900	Pom121l12	ENSMUSG00000084135	ortholog_one2one
SAT1	ENSG00000130066	Sat1	ENSMUSG00000025283	ortholog_one2one
GTF3A	ENSG00000122034	Gtf3a	ENSMUSG00000016503	ortholog_one2one
RNU6-335P	ENSG00000201433	Gm26468	ENSMUSG00000089269	ortholog_one2one
TRIL	ENSG00000255690	Tril	ENSMUSG00000043496	ortholog_one2one
RBBP8	ENSG00000101773	Rbbp8	ENSMUSG00000041238	ortholog_one2one
RWDD2B	ENSG00000156253	Rwdd2b	ENSMUSG00000041079	ortholog_one2one
RAB22A	ENSG00000124209	Rab22a	ENSMUSG00000027519	ortholog_one2one
FAM227A	ENSG00000184949	Fam227a	ENSMUSG00000042564	ortholog_one2one
ALG5	ENSG00000120697	Alg5	ENSMUSG00000036632	ortholog_one2one
ENAM	ENSG00000132464	Enam	ENSMUSG00000029286	ortholog_one2one
PJA1	ENSG00000181191	Pja1	ENSMUSG00000034403	ortholog_one2one
UTP3	ENSG00000132467	Utp3	ENSMUSG00000070697	ortholog_one2one
RNU6-784P	ENSG00000207058	Gm25322	ENSMUSG00000084505	ortholog_one2one
RNU6-891P	ENSG00000207007	Gm22226	ENSMUSG00000087980	ortholog_one2one
TRIOBP	ENSG00000100106	Triobp	ENSMUSG00000033088	ortholog_one2one
DOK5	ENSG00000101134	Dok5	ENSMUSG00000027560	ortholog_one2one
PLXNA3	ENSG00000130827	Plxna3	ENSMUSG00000031398	ortholog_one2one
TEX47	ENSG00000164645	Tex47	ENSMUSG00000040514	ortholog_one2one
TTLL9	ENSG00000131044	Ttll9	ENSMUSG00000074673	ortholog_one2one
GIMD1	ENSG00000250298	Gimd1	ENSMUSG00000091721	ortholog_one2one
RRP1	ENSG00000160214	Rrp1	ENSMUSG00000061032	ortholog_one2one
IL2	ENSG00000109471	Il2	ENSMUSG00000027720	ortholog_one2one
N4BP2L2	ENSG00000244754	N4bp2l2	ENSMUSG00000029655	ortholog_one2one
MAP1LC3A	ENSG00000101460	Map1lc3a	ENSMUSG00000027602	ortholog_one2one
LIMK2	ENSG00000182541	Limk2	ENSMUSG00000020451	ortholog_one2one
TWSG1	ENSG00000128791	Twsg1	ENSMUSG00000024098	ortholog_one2one
SOWAHB	ENSG00000186212	Sowahb	ENSMUSG00000045314	ortholog_one2one
PRELID3A	ENSG00000141391	Prelid3a	ENSMUSG00000024530	ortholog_one2one
NONO	ENSG00000147140	Nono	ENSMUSG00000031311	ortholog_one2one
POU4F2	ENSG00000151615	Pou4f2	ENSMUSG00000031688	ortholog_one2one
TAS2R3	ENSG00000127362	Tas2r137	ENSMUSG00000052850	ortholog_one2one
ZNF397	ENSG00000186812	Zfp397	ENSMUSG00000024276	ortholog_one2one
RNU6-351P	ENSG00000251906	Gm55761	ENSMUSG00002074989	ortholog_one2one
IL21	ENSG00000138684	Il21	ENSMUSG00000027718	ortholog_one2one
PLCB4	ENSG00000101333	Plcb4	ENSMUSG00000039943	ortholog_one2one
RANBP1	ENSG00000099901	Ranbp1	ENSMUSG00000005732	ortholog_one2one
TMEM229A	ENSG00000234224	Tmem229a	ENSMUSG00000048022	ortholog_one2one
LPAR6	ENSG00000139679	Lpar6	ENSMUSG00000033446	ortholog_one2one
NKX1-1	ENSG00000235608	Nkx1-1	ENSMUSG00000029112	ortholog_one2one
RN7SKP155	ENSG00000251840	Gm55144	ENSMUSG00002076474	ortholog_one2one
RNU6-112P	ENSG00000200469	Gm25851	ENSMUSG00000119633	ortholog_one2one
ZAR1L	ENSG00000189167	Zar1l	ENSMUSG00000056586	ortholog_one2one
CPEB2	ENSG00000137449	Cpeb2	ENSMUSG00000039782	ortholog_one2one
RNU1-15P	ENSG00000195024	Gm23980	ENSMUSG00000087760	ortholog_one2one
ZC3H7B	ENSG00000100403	Zc3h7b	ENSMUSG00000022390	ortholog_one2one
RNF152	ENSG00000176641	Rnf152	ENSMUSG00000047496	ortholog_one2one
SNORA5A	ENSG00000206838	Gm24313	ENSMUSG00000064495	ortholog_one2one
ABCG1	ENSG00000160179	Abcg1	ENSMUSG00000024030	ortholog_one2one
SNORA5C	ENSG00000201772	Snora5c	ENSMUSG00000065686	ortholog_one2one
SNORA9	ENSG00000277184	Snora9	ENSMUSG00000064513	ortholog_one2one
RNU2-29P	ENSG00000222355	Gm22850	ENSMUSG00000088339	ortholog_one2one
SNORA22B	ENSG00000206603	Gm23245	ENSMUSG00000065304	ortholog_one2one
TPD52L3	ENSG00000170777	Trpd52l3	ENSMUSG00000024815	ortholog_one2one
RNU6-10P	ENSG00000206763	Gm25450	ENSMUSG00000118906	ortholog_one2one
RNU1-29P	ENSG00000271739	Gm24200	ENSMUSG00000064889	ortholog_one2one
KCTD1	ENSG00000134504	Kctd1	ENSMUSG00000036225	ortholog_one2one
ASIC5	ENSG00000256394	Asic5	ENSMUSG00000028008	ortholog_one2one
TAS2R38	ENSG00000257138	Tas2r138	ENSMUSG00000058250	ortholog_one2one
LMF2	ENSG00000100258	Lmf2	ENSMUSG00000022614	ortholog_one2one
MIR25	ENSG00000207547	Mir25	ENSMUSG00000065394	ortholog_one2one
MIR106B	ENSG00000208036	Mir106b	ENSMUSG00000065514	ortholog_one2one
RNU6-393P	ENSG00000207204	Gm26285	ENSMUSG00000119383	ortholog_one2one
ANXA10	ENSG00000109511	Anxa10	ENSMUSG00000031635	ortholog_one2one
SPMIP7	ENSG00000164500	Spmip7	ENSMUSG00000020191	ortholog_one2one
NEK5	ENSG00000197168	Nek5	ENSMUSG00000037738	ortholog_one2one
TAS2R4	ENSG00000127364	Tas2r108	ENSMUSG00000037140	ortholog_one2one
DRC11L	ENSG00000278685	Iqca1l	ENSMUSG00000038199	ortholog_one2one
TCF4	ENSG00000196628	Tcf4	ENSMUSG00000053477	ortholog_one2one
CCKAR	ENSG00000163394	Cckar	ENSMUSG00000029193	ortholog_one2one
DOP1B	ENSG00000142197	Dop1b	ENSMUSG00000022946	ortholog_one2one
MIR489	ENSG00000207656	Mir489	ENSMUSG00000070107	ortholog_one2one
TUBGCP3	ENSG00000126216	Tubgcp3	ENSMUSG00000000759	ortholog_one2one
RRH	ENSG00000180245	Rrh	ENSMUSG00000028012	ortholog_one2one
DSPP	ENSG00000152591	Dspp	ENSMUSG00000053268	ortholog_one2one
MIR335	ENSG00000199043	Mir335	ENSMUSG00000065501	ortholog_one2one
GJC3	ENSG00000176402	Gjc3	ENSMUSG00000056966	ortholog_one2one
MIS18A	ENSG00000159055	Mis18a	ENSMUSG00000022978	ortholog_one2one
RNU6-1184P	ENSG00000207318	Gm56000	ENSMUSG00002075013	ortholog_one2one
MIR302D	ENSG00000199145	Mir302d	ENSMUSG00000065447	ortholog_one2one
MIR302C	ENSG00000199102	Mir302c	ENSMUSG00000065482	ortholog_one2one
PARVB	ENSG00000188677	Parvb	ENSMUSG00000022438	ortholog_one2one
NDUFV3	ENSG00000160194	Ndufv3	ENSMUSG00000024038	ortholog_one2one
C4orf54	ENSG00000248713	1110002E22Rik	ENSMUSG00000090066	ortholog_one2one
hsa-mir-423	ENSG00000266919	Mir423	ENSMUSG00000065518	ortholog_one2one
OTOP1	ENSG00000163982	Otop1	ENSMUSG00000051596	ortholog_one2one
DNAJC30	ENSG00000176410	Dnajc30	ENSMUSG00000061118	ortholog_one2one
CLDN3	ENSG00000165215	Cldn3	ENSMUSG00000070473	ortholog_one2one
TFF3	ENSG00000160180	Tff3	ENSMUSG00000024029	ortholog_one2one
BLOC1S4	ENSG00000186222	Bloc1s4	ENSMUSG00000060708	ortholog_one2one
KIF2B	ENSG00000141200	Kif2b	ENSMUSG00000046755	ortholog_one2one
RNU6-907P	ENSG00000212226	Gm56305	ENSMUSG00002075752	ortholog_one2one
TFF1	ENSG00000160182	Tff1	ENSMUSG00000024032	ortholog_one2one
S100B	ENSG00000160307	S100b	ENSMUSG00000033208	ortholog_one2one
CSN2	ENSG00000135222	Csn2	ENSMUSG00000063157	ortholog_one2one
NEUROG2	ENSG00000178403	Neurog2	ENSMUSG00000027967	ortholog_one2one
NPTXR	ENSG00000221890	Nptxr	ENSMUSG00000022421	ortholog_one2one
TST	ENSG00000128311	Tst	ENSMUSG00000044986	ortholog_one2one
TMEM271	ENSG00000273238	Tmem271rt	ENSMUSG00000105867	ortholog_one2one
PKNOX1	ENSG00000160199	Pknox1	ENSMUSG00000006705	ortholog_one2one
SNORD79	ENSG00000251878	Gm50452	ENSMUSG00000065160	ortholog_one2one
RNU6-468P	ENSG00000206730	Gm23614	ENSMUSG00000064532	ortholog_one2one
MAB21L2	ENSG00000181541	Mab21l2	ENSMUSG00000057777	ortholog_one2one
PES1	ENSG00000100029	Pes1	ENSMUSG00000020430	ortholog_one2one
CLRN2	ENSG00000249581	Clrn2	ENSMUSG00000049530	ortholog_one2one
ATOH1	ENSG00000172238	Atoh1	ENSMUSG00000073043	ortholog_one2one
GRXCR1	ENSG00000215203	Grxcr1	ENSMUSG00000068082	ortholog_one2one
PURB	ENSG00000146676	Purb	ENSMUSG00000094483	ortholog_one2one
MIR4657	ENSG00000284261	Gm22123	ENSMUSG00000092885	ortholog_one2one
ADRA2C	ENSG00000184160	Adra2c	ENSMUSG00000045318	ortholog_one2one
CXXC4	ENSG00000168772	Cxxc4	ENSMUSG00000044365	ortholog_one2one
UGGT2	ENSG00000102595	Uggt2	ENSMUSG00000042104	ortholog_one2one
CCDC182	ENSG00000166329	Ccdc182	ENSMUSG00000034031	ortholog_one2one
SON	ENSG00000159140	Son	ENSMUSG00000022961	ortholog_one2one
RNU6-1195P	ENSG00000207198	Gm22114	ENSMUSG00000119314	ortholog_one2one
SNORD10	ENSG00000238917	Gm25835	ENSMUSG00000089542	ortholog_one2one
TRBV30	ENSG00000237254	Trbv31	ENSMUSG00000076499	ortholog_one2one
MIR22	ENSG00000283824	Mir22	ENSMUSG00000065529	ortholog_one2one
FREM3	ENSG00000183090	Frem3	ENSMUSG00000042353	ortholog_one2one
SPPL2C	ENSG00000185294	Sppl2c	ENSMUSG00000049506	ortholog_one2one
MIR490	ENSG00000207597	Mir490	ENSMUSG00000070075	ortholog_one2one
RNU6-1272P	ENSG00000199646	Gm25384	ENSMUSG00000088432	ortholog_one2one
SERHL2	ENSG00000183569	Serhl	ENSMUSG00000058586	ortholog_one2one
GEMIN8	ENSG00000046647	Gemin8	ENSMUSG00000040621	ortholog_one2one
C21orf91	ENSG00000154642	D16Ertd472e	ENSMUSG00000022864	ortholog_one2one
SPEM3	ENSG00000283439	Spem3	ENSMUSG00000109737	ortholog_one2one
ZAR1	ENSG00000182223	Zar1	ENSMUSG00000063935	ortholog_one2one
TAS2R39	ENSG00000236398	Tas2r139	ENSMUSG00000047102	ortholog_one2one
TAS2R40	ENSG00000221937	Tas2r144	ENSMUSG00000051917	ortholog_one2one
SCARNA21	ENSG00000252835	Gm22442	ENSMUSG00000087881	ortholog_one2one
GUCY2D	ENSG00000132518	Gucy2e	ENSMUSG00000020890	ortholog_one2one
TAS2R60	ENSG00000185899	Tas2r135	ENSMUSG00000056203	ortholog_one2one
TAS2R41	ENSG00000221855	Tas2r126	ENSMUSG00000048284	ortholog_one2one
BORCS6	ENSG00000196544	Borcs6	ENSMUSG00000045176	ortholog_one2one
RNU6-583P	ENSG00000251821	Gm22335	ENSMUSG00000088349	ortholog_one2one
MFSD6L	ENSG00000185156	Mfsd6l	ENSMUSG00000048329	ortholog_one2one
OR9A4	ENSG00000258083	Or9a4	ENSMUSG00000045514	ortholog_one2one
VPS26C	ENSG00000157538	Vps26c	ENSMUSG00000022898	ortholog_one2one
LONRF3	ENSG00000175556	Lonrf3	ENSMUSG00000016239	ortholog_one2one
LHFPL3	ENSG00000187416	Lhfpl3	ENSMUSG00000106379	ortholog_one2one
MYH8	ENSG00000133020	Myh8	ENSMUSG00000055775	ortholog_one2one
NDFIP2	ENSG00000102471	Ndfip2	ENSMUSG00000053253	ortholog_one2one
OR6B1	ENSG00000221813	Or6b1	ENSMUSG00000049168	ortholog_one2one
FERD3L	ENSG00000146618	Ferd3l	ENSMUSG00000046518	ortholog_one2one
OR2A5	ENSG00000221836	Or2a5	ENSMUSG00000043119	ortholog_one2one
OR2A25	ENSG00000221933	Or2a25	ENSMUSG00000045708	ortholog_one2one
TMPRSS11F	ENSG00000198092	Tmprss11f	ENSMUSG00000048764	ortholog_one2one
OR2A12	ENSG00000221858	Or2a12	ENSMUSG00000073111	ortholog_one2one
SHH	ENSG00000164690	Shh	ENSMUSG00000002633	ortholog_one2one
RNU6-1065P	ENSG00000207242	Gm55005	ENSMUSG00002074869	ortholog_one2one
BTK	ENSG00000010671	Btk	ENSMUSG00000031264	ortholog_one2one
MIR744	ENSG00000266297	Mir744	ENSMUSG00000076460	ortholog_one2one
SF3A1	ENSG00000099995	Sf3a1	ENSMUSG00000002129	ortholog_one2one
CARS2	ENSG00000134905	Cars2	ENSMUSG00000056228	ortholog_one2one
RN7SKP36	ENSG00000200867	Gm54942	ENSMUSG00002076954	ortholog_one2one
PSAPL1	ENSG00000178597	Psapl1	ENSMUSG00000043430	ortholog_one2one
RNU6-276P	ENSG00000251923	Gm25814	ENSMUSG00000064688	ortholog_one2one
EXOC1L	ENSG00000250821	Exoc1l	ENSMUSG00000091204	ortholog_one2one
RNU6-24P	ENSG00000207169	Gm22448	ENSMUSG00000119593	ortholog_one2one
RNU6-652P	ENSG00000202358	Gm26131	ENSMUSG00000064659	ortholog_one2one
SNORD1A	ENSG00000278261	Snord1a	ENSMUSG00000065094	ortholog_one2one
UBE2G2	ENSG00000184787	Ube2g2	ENSMUSG00000009293	ortholog_one2one
MUC17	ENSG00000169876	Muc17	ENSMUSG00000037390	ortholog_one2one
RN7SKP54	ENSG00000222636	Gm55788	ENSMUSG00002076769	ortholog_one2one
MIR196B	ENSG00000283745	Mir196b	ENSMUSG00000065443	ortholog_one2one
CDC45	ENSG00000093009	Cdc45	ENSMUSG00000000028	ortholog_one2one
HOXA13	ENSG00000106031	Hoxa13	ENSMUSG00000038203	ortholog_one2one
CFAP299	ENSG00000197826	Cfap299	ENSMUSG00000057816	ortholog_one2one
DTD1	ENSG00000125821	Dtd1	ENSMUSG00000027430	ortholog_one2one
FAM3B	ENSG00000183844	Fam3b	ENSMUSG00000022938	ortholog_one2one
FZD9	ENSG00000188763	Fzd9	ENSMUSG00000049551	ortholog_one2one
MIR218-1	ENSG00000207732	Mir218-1	ENSMUSG00000065603	ortholog_one2one
ABCB5	ENSG00000004846	Abcb5	ENSMUSG00000072791	ortholog_one2one
PPEF2	ENSG00000156194	Ppef2	ENSMUSG00000029410	ortholog_one2one
PRELID3B	ENSG00000101166	Prelid3b	ENSMUSG00000016257	ortholog_one2one
GET1	ENSG00000182093	Get1	ENSMUSG00000023147	ortholog_one2one
SLC15A5	ENSG00000188991	Slc15a5	ENSMUSG00000044378	ortholog_one2one
COMMD7	ENSG00000149600	Commd7	ENSMUSG00000056941	ortholog_one2one
EPX	ENSG00000121053	Epx	ENSMUSG00000052234	ortholog_one2one
SPMIP11	ENSG00000257987	Spmip11	ENSMUSG00000022993	ortholog_one2one
PCCA	ENSG00000175198	Pcca	ENSMUSG00000041650	ortholog_one2one
SNORD4A	ENSG00000238578	Snord4a	ENSMUSG00000077625	ortholog_one2one
SNORD42A	ENSG00000238649	Snord42a	ENSMUSG00000064540	ortholog_one2one
MID1	ENSG00000101871	Mid1	ENSMUSG00000035299	ortholog_one2one
LCA5L	ENSG00000157578	Lca5l	ENSMUSG00000045275	ortholog_one2one
KRT76	ENSG00000185069	Krt76	ENSMUSG00000075402	ortholog_one2one
MIR132	ENSG00000267200	Mir132	ENSMUSG00000065537	ortholog_one2one
SNORD73B	ENSG00000201264	Snord73b	ENSMUSG00000064390	ortholog_one2one
SNORD73A	ENSG00000208797	Snord73a	ENSMUSG00000064984	ortholog_one2one
STK4	ENSG00000101109	Stk4	ENSMUSG00000018209	ortholog_one2one
PRSS48	ENSG00000189099	Prss48	ENSMUSG00000049013	ortholog_one2one
KRT2	ENSG00000172867	Krt2	ENSMUSG00000064201	ortholog_one2one
RN7SKP136	ENSG00000222859	Gm56372	ENSMUSG00002075446	ortholog_one2one
HEXIM1	ENSG00000186834	Hexim1	ENSMUSG00000048878	ortholog_one2one
SCPPPQ1	ENSG00000272856	Scpppq1	ENSMUSG00000091034	ortholog_one2one
ARL5C	ENSG00000141748	Arl5c	ENSMUSG00000038352	ortholog_one2one
PPP6R2	ENSG00000100239	Ppp6r2	ENSMUSG00000036561	ortholog_one2one
SDK1	ENSG00000146555	Sdk1	ENSMUSG00000039683	ortholog_one2one
LRRIQ1	ENSG00000133640	Lrriq1	ENSMUSG00000019892	ortholog_one2one
MORC3	ENSG00000159256	Morc3	ENSMUSG00000039456	ortholog_one2one
NAP1L5	ENSG00000177432	Nap1l5	ENSMUSG00000055430	ortholog_one2one
POLR2A	ENSG00000181222	Polr2a	ENSMUSG00000005198	ortholog_one2one
CCDC71L	ENSG00000253276	Ccdc71l	ENSMUSG00000090946	ortholog_one2one
CCER1	ENSG00000197651	Ccer1	ENSMUSG00000047025	ortholog_one2one
HCRT	ENSG00000161610	Hcrt	ENSMUSG00000045471	ortholog_one2one
KRT1	ENSG00000167768	Krt1	ENSMUSG00000046834	ortholog_one2one
PROKR2	ENSG00000101292	Prokr2	ENSMUSG00000050558	ortholog_one2one
RNU6-1057P	ENSG00000252971	Gm54816	ENSMUSG00002075335	ortholog_one2one
ASIC2	ENSG00000108684	Asic2	ENSMUSG00000020704	ortholog_one2one
TPH2	ENSG00000139287	Tph2	ENSMUSG00000006764	ortholog_one2one
ATP6AP1	ENSG00000071553	Atp6ap1	ENSMUSG00000019087	ortholog_one2one
GABPA	ENSG00000154727	Gabpa	ENSMUSG00000008976	ortholog_one2one
RNA5SP443	ENSG00000199953	Gm55878	ENSMUSG00002075656	ortholog_one2one
KRT25	ENSG00000204897	Krt25	ENSMUSG00000035831	ortholog_one2one
TBX20	ENSG00000164532	Tbx20	ENSMUSG00000031965	ortholog_one2one
KRT27	ENSG00000171446	Krt27	ENSMUSG00000017588	ortholog_one2one
KRT77	ENSG00000189182	Krt77	ENSMUSG00000067594	ortholog_one2one
KRT28	ENSG00000173908	Krt28	ENSMUSG00000055937	ortholog_one2one
ATG9B	ENSG00000181652	Atg9b	ENSMUSG00000038295	ortholog_one2one
SCN4A	ENSG00000007314	Scn4a	ENSMUSG00000001027	ortholog_one2one
TPX2	ENSG00000088325	Tpx2	ENSMUSG00000027469	ortholog_one2one
MIR124-1	ENSG00000284321	Mir124a-1	ENSMUSG00000065597	ortholog_one2one
FOXL3	ENSG00000248767	Foxl3	ENSMUSG00000094504	ortholog_one2one
SNORD104	ENSG00000199753	Snord104	ENSMUSG00000065126	ortholog_one2one
SLITRK2	ENSG00000185985	Slitrk2	ENSMUSG00000036790	ortholog_one2one
SNORA50C	ENSG00000277887	Gm22711	ENSMUSG00000080540	ortholog_one2one
ASZ1	ENSG00000154438	Asz1	ENSMUSG00000010796	ortholog_one2one
PRSS51	ENSG00000253649	Prss51	ENSMUSG00000052099	ortholog_one2one
RP1L1	ENSG00000183638	Rp1l1	ENSMUSG00000046049	ortholog_one2one
HCCS	ENSG00000004961	Hccs	ENSMUSG00000031352	ortholog_one2one
FNDC8	ENSG00000073598	Fndc8	ENSMUSG00000018844	ortholog_one2one
GRIFIN	ENSG00000275572	Grifin	ENSMUSG00000036586	ortholog_one2one
RTL4	ENSG00000187823	Rtl4	ENSMUSG00000071679	ortholog_one2one
MIR598	ENSG00000207600	Mir598	ENSMUSG00000076049	ortholog_one2one
KCTD11	ENSG00000213859	Kctd11	ENSMUSG00000046731	ortholog_one2one
MC2R	ENSG00000185231	Mc2r	ENSMUSG00000045569	ortholog_one2one
BHLHA9	ENSG00000205899	Bhlha9	ENSMUSG00000044243	ortholog_one2one
OR9A1P	ENSG00000237621	Or9a7	ENSMUSG00000068259	ortholog_one2one
PLCXD1	ENSG00000182378	Plcxd1	ENSMUSG00000064247	ortholog_one2one
RNU6-979P	ENSG00000206623	Gm23331	ENSMUSG00000088048	ortholog_one2one
DTNA	ENSG00000134769	Dtna	ENSMUSG00000024302	ortholog_one2one
RNU6-446P	ENSG00000199697	Gm25235	ENSMUSG00000119049	ortholog_one2one
TRGV9	ENSG00000211695	Trgv6	ENSMUSG00000076746	ortholog_one2one
MIR144	ENSG00000283819	Mir144	ENSMUSG00000065401	ortholog_one2one
USH1G	ENSG00000182040	Ush1g	ENSMUSG00000045288	ortholog_one2one
OR1D2	ENSG00000184166	Or1d2	ENSMUSG00000058275	ortholog_one2one
ABTB3	ENSG00000151136	Abtb3	ENSMUSG00000020042	ortholog_one2one
MIR195	ENSG00000284112	Mir195a	ENSMUSG00000065411	ortholog_one2one
MIR497	ENSG00000284027	Mir497	ENSMUSG00000105220	ortholog_one2one
TRBV15	ENSG00000276819	Trbv17	ENSMUSG00000076474	ortholog_one2one
AGPAT3	ENSG00000160216	Agpat3	ENSMUSG00000001211	ortholog_one2one
GAB3	ENSG00000160219	Gab3	ENSMUSG00000032750	ortholog_one2one
RNF17	ENSG00000132972	Rnf17	ENSMUSG00000000365	ortholog_one2one
TRBV19	ENSG00000211746	Trbv19	ENSMUSG00000076475	ortholog_one2one
KRT34	ENSG00000131737	Krt34	ENSMUSG00000043485	ortholog_one2one
TRBV28	ENSG00000211753	Trbv29	ENSMUSG00000076480	ortholog_one2one
TRBV29-1	ENSG00000232869	Trbv30	ENSMUSG00000076481	ortholog_one2one
ANKRD61	ENSG00000157999	Ankrd61	ENSMUSG00000029607	ortholog_one2one
DZIP1	ENSG00000134874	Dzip1	ENSMUSG00000042156	ortholog_one2one
MIR29A	ENSG00000284032	Mir29a	ENSMUSG00000065610	ortholog_one2one
MIR29B1	ENSG00000283797	Mir29b-1	ENSMUSG00000065604	ortholog_one2one
KRTAP3-1	ENSG00000212901	Krtap3-1	ENSMUSG00000047564	ortholog_one2one
SEPTIN14	ENSG00000154997	Septin14	ENSMUSG00000034219	ortholog_one2one
RNU6-400P	ENSG00000212475	Gm25008	ENSMUSG00000065743	ortholog_one2one
RNU6-279P	ENSG00000212599	Gm55733	ENSMUSG00002075369	ortholog_one2one
RNU6-595P	ENSG00000200814	Gm26206	ENSMUSG00000064842	ortholog_one2one
RNU1-83P	ENSG00000200296	Gm23100	ENSMUSG00000065389	ortholog_one2one
MIR331	ENSG00000199172	Mir331	ENSMUSG00000065607	ortholog_one2one
RNU4-41P	ENSG00000201296	Gm25995	ENSMUSG00000093137	ortholog_one2one
RNU6-1068P	ENSG00000222890	Gm22078	ENSMUSG00000088218	ortholog_one2one
SNORD7	ENSG00000207297	Snord7	ENSMUSG00000065715	ortholog_one2one
BACE2	ENSG00000182240	Bace2	ENSMUSG00000040605	ortholog_one2one
LRCH1	ENSG00000136141	Lrch1	ENSMUSG00000068015	ortholog_one2one
KRT32	ENSG00000108759	Krt32	ENSMUSG00000046095	ortholog_one2one
NME8	ENSG00000086288	Nme8	ENSMUSG00000041138	ortholog_one2one
KRT36	ENSG00000126337	Krt36	ENSMUSG00000020916	ortholog_one2one
RNU6-1083P	ENSG00000206749	Gm23805	ENSMUSG00000118715	ortholog_one2one
KRT35	ENSG00000197079	Krt35	ENSMUSG00000048013	ortholog_one2one
IL31	ENSG00000204671	Il31	ENSMUSG00000029437	ortholog_one2one
SNORA53	ENSG00000212443	Gm24119	ENSMUSG00000077167	ortholog_one2one
OMG	ENSG00000126861	Omg	ENSMUSG00000049612	ortholog_one2one
SPATA13	ENSG00000182957	Spata13	ENSMUSG00000021990	ortholog_one2one
ADAMDEC1	ENSG00000134028	Adamdec1	ENSMUSG00000022057	ortholog_one2one
ZMYND8	ENSG00000101040	Zmynd8	ENSMUSG00000039671	ortholog_one2one
MIR193A	ENSG00000207614	Mir193a	ENSMUSG00000065395	ortholog_one2one
VSIG1	ENSG00000101842	Vsig1	ENSMUSG00000031430	ortholog_one2one
MIRLET7I	ENSG00000199179	Mirlet7i	ENSMUSG00000065406	ortholog_one2one
TLR7	ENSG00000196664	Tlr7	ENSMUSG00000044583	ortholog_one2one
EPYC	ENSG00000083782	Epyc	ENSMUSG00000019936	ortholog_one2one
RNU6-314P	ENSG00000252383	Gm56440	ENSMUSG00002076284	ortholog_one2one
KCND1	ENSG00000102057	Kcnd1	ENSMUSG00000009731	ortholog_one2one
SNORD49B	ENSG00000277108	Snord49b	ENSMUSG00000064437	ortholog_one2one
SNORD49A	ENSG00000277370	Snord49a	ENSMUSG00000065734	ortholog_one2one
HGH1	ENSG00000235173	Hgh1	ENSMUSG00000022554	ortholog_one2one
MIR96	ENSG00000199158	Mir96	ENSMUSG00000065586	ortholog_one2one
MIR183	ENSG00000207691	Mir183	ENSMUSG00000065619	ortholog_one2one
HSPB9	ENSG00000260325	Hspb9	ENSMUSG00000017832	ortholog_one2one
RNU6-638P	ENSG00000252391	Gm55574	ENSMUSG00002075283	ortholog_one2one
KRTAP16-1	ENSG00000212657	Krtap16-1	ENSMUSG00000078253	ortholog_one2one
DDN	ENSG00000181418	Ddn	ENSMUSG00000059213	ortholog_one2one
VGLL1	ENSG00000102243	Vgll1	ENSMUSG00000031131	ortholog_one2one
MUC5B	ENSG00000117983	Muc5b	ENSMUSG00000066108	ortholog_one2one
RNF222	ENSG00000189051	Rnf222	ENSMUSG00000046490	ortholog_one2one
GSG1L2	ENSG00000214978	Gsg1l2	ENSMUSG00000097886	ortholog_one2one
CHMP4C	ENSG00000164695	Chmp4c	ENSMUSG00000027536	ortholog_one2one
RNU6-781P	ENSG00000252186	Gm22087	ENSMUSG00000088964	ortholog_one2one
EPOP	ENSG00000273604	Epop	ENSMUSG00000043439	ortholog_one2one
MIR200C	ENSG00000207713	Mir200c	ENSMUSG00000065462	ortholog_one2one
SCARNA12	ENSG00000238795	Gm23547	ENSMUSG00000088835	ortholog_one2one
GDF11	ENSG00000135414	Gdf11	ENSMUSG00000025352	ortholog_one2one
CDADC1	ENSG00000102543	Cdadc1	ENSMUSG00000021982	ortholog_one2one
GPR142	ENSG00000257008	Gpr142	ENSMUSG00000034677	ortholog_one2one
MUC5AC	ENSG00000215182	Muc5ac	ENSMUSG00000037974	ortholog_one2one
EFCAB5	ENSG00000176927	Efcab5	ENSMUSG00000050944	ortholog_one2one
SDR9C7	ENSG00000170426	Sdr9c7	ENSMUSG00000040127	ortholog_one2one
APOO	ENSG00000184831	Apoo	ENSMUSG00000079508	ortholog_one2one
CLDN23	ENSG00000253958	Cldn23	ENSMUSG00000055976	ortholog_one2one
CEBPD	ENSG00000221869	Cebpd	ENSMUSG00000071637	ortholog_one2one
FNTA	ENSG00000168522	Fnta	ENSMUSG00000015994	ortholog_one2one
KPNA3	ENSG00000102753	Kpna3	ENSMUSG00000021929	ortholog_one2one
REP15	ENSG00000174236	Rep15	ENSMUSG00000040121	ortholog_one2one
FANCF	ENSG00000183161	Fancf	ENSMUSG00000092118	ortholog_one2one
KERA	ENSG00000139330	Kera	ENSMUSG00000019932	ortholog_one2one
DONSON	ENSG00000159147	Donson	ENSMUSG00000022960	ortholog_one2one
FJX1	ENSG00000179431	Fjx1	ENSMUSG00000075012	ortholog_one2one
RNU4-67P	ENSG00000201439	Gm25104	ENSMUSG00000084425	ortholog_one2one
RNU1-52P	ENSG00000206917	Gm23294	ENSMUSG00000077338	ortholog_one2one
RNVU1-34	ENSG00000200997	Gm23099	ENSMUSG00000065388	ortholog_one2one
